hhid,sectiona1,sectiona2,sectiona3,sectiona4,sectiona5,sectiona6,sectiona7,sectiona8,sectiona9,sectiona10
994,5,female,16,child,single,yes,8th grade,no,student,
994,6,female,13,child,single,yes,7th grade,no,student,
994,7,male,20,child,single,yes,11th grade,no,student,
995,1,male,30,household head,married,yes,did not complete any schooling,yes,,agriculture
995,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
995,3,female,10,child,,yes,did not complete any schooling,yes,,household work
995,4,female,8,child,,yes,did not complete any schooling,yes,,household work
995,5,female,6,child,,yes,did not complete any schooling,no,too young,
995,6,female,2,child,,no,,,,
996,1,male,47,household head,married,yes,did not complete any schooling,yes,,agriculture
996,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
996,3,female,13,child,single,yes,6th grade,yes,,agriculture
996,4,female,8,child,,yes,1st grade,yes,,agriculture
996,5,male,6,child,,yes,1st grade,yes,,agriculture
996,6,female,4,child,,no,,,,
996,7,female,4,child,,no,,,,
996,8,male,70,grandparent,widowed,yes,did not complete any schooling,no,too old,
997,1,male,45,household head,married,yes,did not complete any schooling,yes,,agriculture
997,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
997,3,female,15,child,widowed,yes,8th grade,yes,,agriculture
997,4,male,11,child,,yes,4th grade,yes,,agriculture
997,5,male,8,child,,yes,did not complete any schooling,yes,,livestock
998,1,male,55,household head,married,yes,did not complete any schooling,yes,,agriculture
998,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
998,3,male,26,child,single,yes,completed higher education (not university),no,too young,
998,4,female,24,child,single,yes,10nth grade,no,too young,
998,5,male,22,child,single,yes,incomplete higher education (not university),no,too young,
998,6,male,19,child,single,yes,5th grade,yes,,agriculture
998,7,male,13,child,single,yes,6th grade,yes,,agriculture
998,8,female,11,other relation,,yes,did not complete any schooling,yes,,agriculture
998,9,female,6,sibling,,yes,did not complete any schooling,yes,,livestock
999,1,male,24,household head,married,yes,11th grade,yes,,agriculture
999,2,female,22,spouse,married,yes,9th grade,yes,,household work
999,3,male,2,child,,no,,,,
1000,1,male,30,household head,married,yes,2nd grade,yes,,agriculture
1000,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
1000,3,male,7,child,,yes,4th grade,yes,,household work
1000,4,male,5,child,,yes,2nd grade,yes,,household work
1000,5,male,2,child,,no,,,,
1001,1,male,38,household head,married,yes,2nd grade,yes,,agriculture
1001,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
1001,3,female,11,child,,yes,1st grade,yes,,household work
1001,4,female,9,child,,yes,did not complete any schooling,no,too young,
1001,5,female,7,child,,yes,did not complete any schooling,no,too young,
1001,6,female,5,child,,yes,did not complete any schooling,no,too young,
1001,7,male,2,child,,no,,,,
1002,1,male,55,household head,married,yes,5th grade,yes,,agriculture
1002,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
1002,3,female,22,child,single,yes,5th grade,yes,,household work
1002,4,female,19,child,single,yes,5th grade,yes,,household work
1002,5,male,17,child,single,yes,4th grade,yes,,household work
1002,6,female,15,child,single,yes,did not complete any schooling,yes,,household work
1002,7,female,12,child,single,yes,did not complete any schooling,yes,,household work
1002,8,female,8,child,,yes,did not complete any schooling,yes,,household work
1003,1,male,65,household head,married,yes,did not complete any schooling,yes,,agriculture
1003,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
1003,3,male,20,child,single,yes,4th grade,yes,,agriculture
1003,4,male,15,child,single,yes,6th grade,yes,,student
1003,5,female,23,child,single,yes,10nth grade,yes,,student
1003,6,female,12,child,single,yes,3rd grade,yes,,student
1004,1,female,50,household head,widowed,yes,did not complete any schooling,yes,,household work
1004,2,male,20,child,single,yes,10nth grade,yes,,no precise occupation
1004,3,female,18,child,single,yes,10nth grade,yes,,no precise occupation
1004,4,male,16,child,single,yes,4th grade,yes,,agriculture
1004,5,male,14,child,single,yes,5th grade,yes,,agriculture
1004,6,female,12,child,single,yes,1st grade,no,student,
1004,7,female,10,child,,yes,did not complete any schooling,no,too young,
1004,8,female,8,child,,yes,did not complete any schooling,no,too young,
1004,9,female,6,child,,yes,did not complete any schooling,no,too young,
1005,1,male,30,household head,married,yes,9th grade,yes,,agriculture
1005,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
1005,3,female,10,child,,yes,4th grade,yes,,household work
1005,4,male,7,child,,yes,1st grade,yes,,livestock
1005,5,female,4,child,,no,,,,
1005,6,male,2,child,,no,,,,
1006,1,female,60,household head,widowed,yes,did not complete any schooling,yes,,agriculture
1006,2,male,20,child,single,yes,completed higher education (not university),yes,,agriculture
1006,3,female,15,grandchild,single,yes,5th grade,yes,,agriculture
1006,4,female,13,grandchild,single,yes,5th grade,yes,,agriculture
1006,5,male,10,grandchild,,yes,5th grade,yes,,agriculture
1006,6,female,85,parent,widowed,yes,did not complete any schooling,no,too old,
1007,1,male,58,household head,married,yes,did not complete any schooling,yes,,agriculture
1007,2,female,48,spouse,married,yes,did not complete any schooling,yes,,household work
1007,3,female,19,child,single,yes,did not complete any schooling,yes,,agriculture
1007,4,female,18,child,single,yes,8th grade,yes,,agriculture
1007,5,female,14,child,single,yes,9th grade,yes,,household work
1007,6,female,13,child,single,yes,5th grade,yes,,household work
1007,7,female,12,child,single,yes,5th grade,yes,,livestock
1007,101,male,17,child,single,yes,10nth grade,no,student,
1007,102,male,16,child,single,yes,9th grade,no,student,
1008,1,male,32,household head,married,yes,9th grade,yes,,agriculture
1008,2,female,30,spouse,married,yes,did not complete any schooling,yes,,household work
1008,3,female,13,child,single,yes,4th grade,yes,,student
1008,4,male,11,child,,yes,2nd grade,yes,,student
1008,5,male,11,child,,yes,2nd grade,yes,,student
1008,6,female,8,child,,yes,1st grade,yes,,student
1008,7,male,6,child,,yes,did not complete any schooling,no,too young,
1008,8,male,3,child,,no,,,,
1009,1,male,68,household head,married,yes,did not complete any schooling,yes,,agriculture
1009,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
1009,3,female,23,child,single,yes,did not complete any schooling,yes,,agriculture
1009,4,female,4,child,,no,,,,
1009,5,male,13,not related,single,yes,did not complete any schooling,yes,,agriculture
1010,1,male,71,household head,married,yes,did not complete any schooling,yes,,agriculture
1010,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
1010,3,male,18,other relation,single,yes,6th grade,yes,,student
1010,4,female,18,child,single,yes,9th grade,yes,,student
1010,5,female,16,child,single,yes,6th grade,yes,,student
1010,6,male,14,child,single,yes,1st grade,yes,,agriculture
1010,7,male,12,child,single,yes,1st grade,yes,,agriculture
1010,8,male,8,child,,yes,did not complete any schooling,no,too young,
1011,1,male,45,household head,married,yes,4th grade,yes,,agriculture
1011,2,female,40,spouse,married,yes,2nd grade,yes,,household work
1011,3,female,17,child,single,yes,6th grade,yes,,student
1011,4,male,14,child,single,yes,3rd grade,yes,,student
1011,5,male,12,child,single,yes,3rd grade,yes,,student
1011,6,female,9,child,,yes,did not complete any schooling,yes,,household work
1011,7,male,6,child,,yes,did not complete any schooling,yes,,household work
1011,8,male,4,child,,no,,,,
1011,9,male,8,child,,yes,1st grade,yes,,student
1012,1,male,46,household head,married,yes,completed higher education (not university),yes,,agriculture
1012,2,female,37,spouse,married,yes,5th grade,yes,,household work
1012,3,female,17,child,single,yes,9th grade,yes,,student
1012,4,male,21,child,single,yes,incomplete university education,yes,,student
1012,5,male,6,child,,yes,did not complete any schooling,no,too young,
1013,1,male,48,household head,married,yes,7th grade,yes,,agriculture
1013,2,female,35,spouse,married,yes,2nd grade,yes,,commerce
1013,3,male,18,child,single,yes,8th grade,yes,,student
1013,4,male,16,child,single,yes,4th grade,yes,,student
1013,5,female,13,child,single,yes,4th grade,yes,,student
1013,6,female,11,child,,yes,2nd grade,yes,,household work
1013,7,male,8,child,,yes,did not complete any schooling,yes,,agriculture
1013,8,male,0,child,,no,,,,
1013,9,female,5,child,,yes,did not complete any schooling,no,too young,
1013,10,female,70,parent,widowed,yes,did not complete any schooling,no,too old,
1013,11,female,17,grandparent,single,yes,8th grade,yes,,student
1013,12,female,19,grandparent,single,yes,8th grade,yes,,student
1013,13,female,45,not related,single,yes,did not complete any schooling,yes,,household work
1014,1,male,35,household head,married,yes,10nth grade,yes,,agriculture
1014,2,female,25,spouse,married,yes,3rd grade,yes,,agriculture
1014,3,male,18,child,single,yes,8th grade,yes,,student
1014,4,female,15,child,single,yes,5th grade,yes,,student
1014,5,male,12,child,single,yes,3rd grade,yes,,student
1014,6,male,8,child,,yes,did not complete any schooling,yes,,livestock
1014,7,male,6,child,,yes,did not complete any schooling,yes,,livestock
1015,1,male,55,household head,married,yes,1st grade,yes,,agriculture
1015,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
1015,3,female,17,child,single,yes,11th grade,yes,,student
1015,4,male,15,child,single,yes,7th grade,yes,,student
1015,5,female,13,child,single,yes,4th grade,yes,,student
1015,6,female,12,child,single,yes,1st grade,yes,,student
1016,1,male,55,household head,married,yes,did not complete any schooling,yes,,agriculture
1016,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
1016,3,female,16,child,single,yes,5th grade,yes,,household work
1016,4,male,15,child,single,yes,6th grade,yes,,agriculture
1016,5,female,12,child,single,yes,5th grade,yes,,household work
1016,6,male,7,child,,yes,did not complete any schooling,yes,,livestock
1016,7,male,8,child,,yes,2nd grade,yes,,livestock
1016,8,female,5,child,,yes,did not complete any schooling,no,too young,
1016,9,female,10,child,,yes,did not complete any schooling,yes,,livestock
1016,10,female,3,child,,no,,,,
1017,1,male,37,household head,married,yes,10nth grade,yes,,agriculture
1017,2,female,30,spouse,married,yes,2nd grade,yes,,household work
1017,3,female,8,child,,yes,1st grade,yes,,household work
1017,4,female,6,child,,yes,did not complete any schooling,yes,,household work
1017,5,female,3,child,,no,,,,
1017,6,male,0,child,,no,,,,
1018,1,male,28,household head,married,yes,4th grade,yes,,agriculture
1018,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
1018,3,female,12,child,single,yes,did not complete any schooling,yes,,livestock
1018,4,male,4,child,,no,,,,
1018,5,male,2,child,,no,,,,
1019,1,male,35,household head,married,yes,did not complete any schooling,yes,,agriculture
1019,2,female,28,spouse,married,yes,did not complete any schooling,yes,,agriculture
1019,3,male,16,child,single,yes,6th grade,yes,,student
1019,4,male,14,child,single,yes,4th grade,yes,,student
1019,5,female,10,child,,yes,1st grade,yes,,student
1019,6,male,8,child,,yes,did not complete any schooling,yes,,livestock
1019,7,female,6,child,,yes,did not complete any schooling,yes,,household work
1020,1,male,38,household head,married,yes,7th grade,yes,,agriculture
1020,2,female,35,spouse,married,yes,3rd grade,yes,,household work
1020,3,male,20,child,single,yes,11th grade,yes,,student
1020,4,female,18,child,single,yes,7th grade,yes,,student
1020,5,female,16,child,single,yes,8th grade,yes,,student
1020,6,male,14,child,single,yes,5th grade,yes,,student
1020,7,female,12,child,single,yes,1st grade,yes,,student
1020,8,female,3,child,,no,,,,
1021,1,male,27,household head,married,yes,11th grade,yes,,agriculture
1021,2,female,26,spouse,married,yes,9th grade,yes,,household work
1021,3,male,8,child,,yes,1st grade,yes,,student
1021,4,male,1,child,,no,,,,
1021,5,male,18,not related,single,yes,did not complete any schooling,yes,,agriculture
1022,1,male,58,household head,married,yes,3rd grade,yes,,agriculture
1022,2,female,55,spouse,married,yes,1st grade,yes,,household work
1022,3,female,20,child,single,yes,incomplete higher education (not university),yes,,student
1022,4,female,18,child,single,yes,incomplete higher education (not university),yes,,student
1022,5,female,16,child,single,yes,9th grade,yes,,student
1022,6,male,15,child,single,yes,9th grade,yes,,student
1022,7,female,14,child,single,yes,7th grade,yes,,student
1022,8,male,9,child,,yes,4th grade,yes,,student
1022,9,female,24,child,single,yes,completed higher education (not university),yes,,non-agricultural wage labor
1023,1,male,32,household head,married,yes,6th grade,yes,,agriculture
1023,2,female,28,spouse,married,yes,2nd grade,yes,,household work
1023,3,female,15,child,single,yes,9th grade,yes,,student
1023,4,male,12,child,single,yes,7th grade,yes,,student
1023,5,female,8,child,,yes,5th grade,yes,,student
1023,6,male,6,child,,yes,1st grade,no,too young,
1024,1,male,35,household head,married,yes,3rd grade,yes,,agriculture
1024,2,female,25,spouse,married,yes,3rd grade,yes,,agriculture
1025,1,male,47,household head,married,yes,did not complete any schooling,yes,,agriculture
1025,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
1025,3,female,18,child,single,yes,5th grade,yes,,agriculture
1025,4,male,16,child,single,yes,7th grade,yes,,student
1025,5,male,14,child,single,yes,2nd grade,yes,,student
1025,6,female,12,child,single,yes,2nd grade,yes,,household work
1025,7,male,10,child,,yes,1st grade,yes,,agriculture
1025,8,female,8,child,,yes,did not complete any schooling,yes,,agriculture
1025,9,male,4,child,,no,,,,
1025,10,female,1,child,,no,,,,
1026,1,male,40,household head,married,yes,10nth grade,yes,,agriculture
1026,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
1026,3,female,20,child,single,yes,11th grade,yes,,student
1026,4,female,15,child,single,yes,9th grade,yes,,student
1026,5,female,13,child,single,yes,5th grade,yes,,student
1026,6,male,10,child,,yes,2nd grade,yes,,agriculture
1026,7,female,7,child,,yes,did not complete any schooling,yes,,agriculture
1026,8,female,5,child,,yes,did not complete any schooling,no,too young,
1027,1,male,40,household head,married,yes,did not complete any schooling,yes,,agriculture
1027,2,female,32,spouse,married,yes,did not complete any schooling,yes,,household work
1027,3,male,10,child,,yes,1st grade,yes,,agriculture
1027,4,male,7,child,,yes,did not complete any schooling,no,too young,
1027,5,male,5,child,,yes,did not complete any schooling,no,too young,
1027,6,male,4,child,,no,,,,
1028,1,male,65,household head,married,yes,did not complete any schooling,yes,,agriculture
1028,2,female,54,spouse,married,yes,did not complete any schooling,yes,,household work
1028,3,male,24,child,single,yes,7th grade,yes,,household work
1028,4,male,18,child,single,yes,6th grade,yes,,household work
1028,5,male,15,child,single,yes,3rd grade,yes,,household work
1028,6,female,19,child,single,yes,did not complete any schooling,yes,,household work
1028,7,female,17,child,single,yes,9th grade,yes,,household work
1028,8,female,15,child,single,yes,10nth grade,yes,,household work
1028,9,female,12,child,single,yes,7th grade,yes,,household work
1029,1,male,35,household head,married,yes,7th grade,yes,,agriculture
1029,2,female,32,spouse,married,yes,4th grade,yes,,household work
1029,3,male,14,child,single,yes,7th grade,yes,,household work
1029,4,female,10,child,,yes,4th grade,yes,,household work
1029,5,male,7,child,,yes,1st grade,yes,,household work
1029,6,female,5,child,,yes,did not complete any schooling,no,too young,
1030,1,male,60,household head,married,yes,did not complete any schooling,yes,,agriculture
1030,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
1030,3,female,20,child,single,yes,10nth grade,yes,,household work
1030,4,female,19,child,single,yes,10nth grade,yes,,household work
1030,5,male,17,child,single,yes,8th grade,yes,,household work
1030,6,male,15,child,single,yes,5th grade,yes,,household work
1030,7,male,10,child,,yes,3rd grade,yes,,household work
1030,8,female,8,child,,yes,did not complete any schooling,yes,,household work
1030,9,female,6,child,,yes,did not complete any schooling,yes,,household work
1030,10,female,16,child,single,yes,5th grade,yes,,household work
1031,1,male,58,household head,married,yes,did not complete any schooling,yes,,agriculture
1031,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
1031,3,male,16,child,single,yes,9th grade,yes,,household work
1031,4,female,14,child,single,yes,10nth grade,yes,,household work
1031,5,female,12,child,single,yes,4th grade,yes,,household work
1031,6,female,10,child,,yes,6th grade,yes,,household work
1031,7,male,8,child,,yes,4th grade,yes,,household work
1031,8,male,6,child,,yes,2nd grade,yes,,household work
1032,1,male,56,household head,married,yes,did not complete any schooling,yes,,agriculture
1032,2,female,51,spouse,married,yes,did not complete any schooling,yes,,household work
1032,3,female,23,child,single,yes,7th grade,yes,,household work
1032,4,female,21,child,single,yes,10nth grade,yes,,household work
1032,5,male,19,child,single,yes,10nth grade,yes,,household work
1032,6,male,17,child,single,yes,8th grade,yes,,household work
1032,7,female,14,child,single,yes,6th grade,yes,,household work
1032,8,male,12,child,single,yes,2nd grade,yes,,household work
1032,9,male,10,child,,yes,did not complete any schooling,yes,,household work
1032,10,female,2,child,,no,,,,
1032,11,male,0,child,,no,,,,
1033,1,male,58,household head,married,yes,did not complete any schooling,yes,,agriculture
1033,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
1033,3,male,30,child,married,yes,10nth grade,yes,,household work
1033,4,male,28,child,married,yes,did not complete any schooling,yes,,household work
1033,5,female,24,child,married,yes,10nth grade,yes,,household work
1033,6,female,18,child,married,yes,10nth grade,yes,,household work
1033,7,female,15,child,married,yes,9th grade,yes,,household work
1033,8,male,13,child,married,yes,5th grade,yes,,household work
1034,1,male,32,household head,married,yes,did not complete any schooling,yes,,agriculture
1034,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
1034,3,male,12,child,single,yes,4th grade,yes,,agriculture
1034,4,male,9,child,,yes,3rd grade,yes,,student
1034,5,male,7,child,,yes,did not complete any schooling,no,too young,
1034,6,female,5,child,,yes,did not complete any schooling,no,too young,
1034,7,male,1,child,,no,,,,
1035,1,male,57,household head,married,yes,did not complete any schooling,yes,,agriculture
1035,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
1035,3,male,26,child,married,yes,completed higher education (not university),yes,,non-agricultural wage labor
1035,4,female,18,child,single,yes,9th grade,yes,,agriculture
1035,5,male,16,child,single,yes,8th grade,yes,,agriculture
1035,6,female,14,child,single,yes,6th grade,yes,,agriculture
1035,7,female,12,child,single,yes,6th grade,yes,,agriculture
1035,8,female,9,child,,yes,4th grade,yes,,agriculture
1035,9,female,6,child,,yes,did not complete any schooling,yes,,livestock
1035,10,male,7,grandparent,,yes,did not complete any schooling,yes,,livestock
1036,1,male,69,household head,married,yes,did not complete any schooling,yes,,agriculture
1036,2,female,59,spouse,married,yes,did not complete any schooling,yes,,agriculture
1036,3,female,40,spouse,married,yes,did not complete any schooling,yes,,agriculture
1036,4,female,25,child,single,yes,3rd grade,yes,,agriculture
1036,5,male,22,child,single,yes,3rd grade,yes,,agriculture
1036,6,male,16,child,single,yes,2nd grade,yes,,agriculture
1036,7,female,15,child,single,yes,5th grade,yes,,agriculture
1036,8,male,12,child,single,yes,1st grade,yes,,agriculture
1036,9,female,9,child,,yes,1st grade,yes,,agriculture
1036,10,female,7,child,,yes,did not complete any schooling,yes,,agriculture
1036,11,female,3,child,,no,,,,
1036,12,female,0,child,,no,,,,
1037,1,male,30,household head,married,yes,3rd grade,yes,,agriculture
1037,2,female,25,spouse,married,yes,did not complete any schooling,yes,,household work
1037,3,male,7,child,,yes,1st grade,yes,,livestock
1037,4,female,5,child,,yes,did not complete any schooling,no,too young,
1037,5,male,0,child,,no,,,,
1038,1,male,59,household head,married,yes,did not complete any schooling,yes,,agriculture
1038,2,female,46,spouse,married,yes,did not complete any schooling,yes,,household work
1038,3,male,20,child,single,yes,12th grade,yes,,household work
1038,4,male,18,child,single,yes,10nth grade,yes,,household work
1038,5,male,15,child,single,yes,12th grade,yes,,household work
1038,6,male,12,child,single,yes,10nth grade,yes,,household work
1038,7,male,8,child,,yes,2nd grade,yes,,household work
1038,8,female,12,child,single,yes,7th grade,yes,,household work
1038,9,male,6,child,,yes,1st grade,yes,,household work
1039,1,male,45,household head,married,yes,7th grade,yes,,agriculture
1039,2,female,32,spouse,married,yes,3rd grade,yes,,household work
1039,3,female,12,child,single,yes,6th grade,yes,,household work
1039,4,female,8,child,,yes,1st grade,yes,,household work
1039,5,female,6,child,,yes,did not complete any schooling,yes,,household work
1039,6,female,5,child,,yes,did not complete any schooling,yes,,household work
1039,7,male,3,child,,no,,,,
1039,8,female,1,child,,no,,,,
1039,9,male,15,child,single,yes,did not complete any schooling,yes,,household work
1040,1,male,55,household head,married,yes,5th grade,yes,,agriculture
1040,2,female,50,spouse,married,yes,6th grade,yes,,household work
1040,3,male,20,child,single,yes,10nth grade,no,student,
1040,4,male,16,child,single,yes,3rd grade,yes,,livestock
1040,5,female,15,child,single,yes,1st grade,yes,,livestock
1095,1,male,47,household head,married,yes,7th grade,yes,,agriculture
1095,2,female,37,spouse,married,yes,did not complete any schooling,yes,,household work
1095,3,male,21,child,single,yes,10nth grade,yes,,agriculture
1095,4,male,19,child,single,yes,10nth grade,yes,,agriculture
1095,5,female,17,child,single,yes,6th grade,yes,,student
1095,6,male,12,child,single,yes,3rd grade,yes,,student
1095,7,male,9,child,,yes,did not complete any schooling,yes,,no precise occupation
1095,8,male,7,child,,yes,did not complete any schooling,yes,,no precise occupation
1095,9,female,5,child,,yes,did not complete any schooling,yes,,no precise occupation
1096,1,male,32,household head,married,yes,did not complete any schooling,yes,,agriculture
1096,2,female,28,spouse,married,yes,did not complete any schooling,yes,,household work
1096,3,male,3,child,,no,,,,
1096,4,female,1,child,,no,,,,
1097,1,male,55,household head,married,yes,5th grade,yes,,agriculture
1097,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
1097,3,male,15,child,single,yes,2nd grade,yes,,student
1097,4,male,13,child,single,yes,1st grade,yes,,student
1097,5,male,10,child,,yes,did not complete any schooling,yes,,livestock
1097,6,male,7,child,,yes,did not complete any schooling,yes,,livestock
1097,7,male,4,child,,no,,,,
1097,8,female,2,child,,no,,,,
1098,1,male,27,household head,single,yes,5th grade,yes,,agriculture
1099,1,male,38,household head,married,yes,6th grade,yes,,agriculture
1099,2,female,37,spouse,married,yes,did not complete any schooling,yes,,household work
1099,3,male,9,child,,yes,did not complete any schooling,yes,,no precise occupation
1099,4,female,6,child,,yes,did not complete any schooling,yes,,no precise occupation
1099,5,female,4,child,,no,,,,
1099,6,female,3,child,,no,,,,
1099,7,female,3,child,,no,,,,
1100,1,male,63,household head,married,yes,did not complete any schooling,yes,,agriculture
1100,2,female,45,spouse,married,yes,did not complete any schooling,yes,,household work
1100,3,male,17,child,single,yes,8th grade,yes,,student
1100,4,female,15,child,single,yes,8th grade,yes,,student
1100,5,female,14,child,single,yes,3rd grade,yes,,agriculture
1100,6,female,8,child,,yes,1st grade,yes,,household work
1101,1,male,45,household head,married,yes,3rd grade,yes,,agriculture
1101,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
1101,3,male,15,child,single,yes,2nd grade,yes,,student
1101,4,male,12,child,single,yes,2nd grade,yes,,student
1101,5,female,9,child,,yes,did not complete any schooling,yes,,household work
1101,6,female,6,child,,yes,did not complete any schooling,yes,,household work
1101,7,male,3,child,,no,,,,
1102,1,male,43,household head,married,yes,4th grade,yes,,agriculture
1102,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
1102,3,male,22,child,single,yes,10nth grade,yes,,agriculture
1102,4,male,19,child,single,yes,6th grade,yes,,student
1102,5,male,17,child,single,yes,8th grade,yes,,student
1102,6,male,14,child,single,yes,4th grade,yes,,student
1102,7,male,8,child,,yes,did not complete any schooling,yes,,livestock
1102,8,female,7,child,,yes,did not complete any schooling,yes,,livestock
1102,9,male,0,child,,no,,,,
1103,1,male,59,household head,married,yes,did not complete any schooling,yes,,agriculture
1103,2,female,40,spouse,married,yes,did not complete any schooling,yes,,household work
1103,3,female,12,child,single,yes,1st grade,yes,,student
1103,101,male,18,child,single,yes,11th grade,no,student,
1104,1,female,46,household head,separated,yes,did not complete any schooling,yes,,household work
1104,2,male,17,child,single,yes,8th grade,yes,,student
1104,3,male,16,child,single,yes,4th grade,yes,,agriculture
1104,4,male,16,child,single,yes,5th grade,yes,,agriculture
1105,1,male,53,household head,married,yes,7th grade,yes,,agriculture
1105,2,female,39,spouse,married,yes,adult literacy program,yes,,household work
1105,3,male,16,child,single,yes,3rd grade,yes,,no precise occupation
1105,4,female,9,child,,yes,3rd grade,yes,,no precise occupation
1105,5,male,8,child,,yes,did not complete any schooling,yes,,no precise occupation
1105,6,male,6,child,,yes,did not complete any schooling,no,too young,
1105,101,male,17,child,single,yes,8th grade,no,student,
1106,1,male,43,household head,married,yes,1st grade,yes,,agriculture
1106,2,female,38,spouse,widowed,yes,5th grade,yes,,household work
1106,3,male,17,child,single,yes,2nd grade,yes,,student
1106,4,male,14,child,single,yes,2nd grade,yes,,student
1106,5,male,11,child,,yes,1st grade,yes,,student
1106,6,male,8,child,,yes,did not complete any schooling,yes,,livestock
1106,7,female,6,child,,yes,did not complete any schooling,no,too young,
1106,8,female,2,child,,no,,,,
1107,1,male,66,household head,married,yes,did not complete any schooling,yes,,agriculture
1107,2,female,56,spouse,married,yes,did not complete any schooling,yes,,household work
1108,1,male,66,household head,married,yes,did not complete any schooling,yes,,agriculture
1108,2,female,50,spouse,married,yes,did not complete any schooling,yes,,household work
1108,3,male,23,child,single,yes,12th grade,yes,,student
1108,4,male,22,child,single,yes,12th grade,yes,,student
1109,1,male,38,household head,married,yes,did not complete any schooling,yes,,agriculture
1109,2,female,22,spouse,married,yes,did not complete any schooling,yes,,household work
1109,3,female,7,child,,yes,did not complete any schooling,yes,,agriculture
1109,4,female,4,child,,no,,,,
1109,5,female,4,child,,no,,,,
1109,6,female,0,child,,no,,,,
1110,1,male,48,household head,married,yes,7th grade,yes,,agriculture
1110,2,female,32,spouse,married,yes,3rd grade,yes,,household work
1110,3,female,18,child,single,yes,10nth grade,yes,,student
1110,4,female,15,child,single,yes,6th grade,yes,,student
1110,5,male,12,child,single,yes,7th grade,yes,,student
1110,6,female,9,child,,yes,2nd grade,yes,,student
1110,101,male,14,child,single,yes,8th grade,no,student,
1111,1,male,40,household head,married,yes,4th grade,yes,,agriculture
1111,2,female,30,spouse,married,yes,2nd grade,yes,,household work
1111,3,male,16,child,single,yes,5th grade,yes,,student
1111,4,male,15,child,single,yes,4th grade,yes,,student
1111,5,male,13,child,single,yes,did not complete any schooling,yes,,no precise occupation
1111,6,female,11,child,,yes,2nd grade,yes,,student
1111,7,female,7,child,,yes,did not complete any schooling,yes,,no precise occupation
1111,8,female,5,child,,yes,did not complete any schooling,no,too young,
1111,9,female,3,child,,no,,,,
1111,10,male,9,child,,yes,did not complete any schooling,yes,,no precise occupation
1111,101,female,18,child,single,yes,8th grade,yes,,student
1112,1,male,32,household head,married,yes,did not complete any schooling,yes,,agriculture
1112,2,female,25,spouse,widowed,yes,did not complete any schooling,yes,,household work
1112,3,female,9,child,,yes,did not complete any schooling,yes,,student
1112,4,female,7,child,,yes,did not complete any schooling,yes,,livestock
1112,5,female,4,child,,no,,,,
1112,6,female,0,child,,no,,,,
1113,1,male,70,household head,married,yes,other literacy program,yes,,agriculture
1113,2,female,53,spouse,married,yes,did not complete any schooling,yes,,household work
1113,3,male,25,child,single,yes,did not complete any schooling,yes,,agriculture
1113,4,male,20,child,single,yes,7th grade,yes,,agriculture
1113,5,female,18,child,single,yes,5th grade,yes,,student
1114,1,male,43,household head,married,yes,8th grade,yes,,agriculture
1114,2,female,35,spouse,married,yes,did not complete any schooling,yes,,household work
1114,3,female,10,child,,yes,3rd grade,yes,,student
1114,4,male,8,child,,yes,did not complete any schooling,yes,,livestock
1114,5,male,5,child,,yes,did not complete any schooling,no,too young,
1114,6,female,1,child,,no,,,,
1115,1,male,51,household head,married,yes,adult literacy program,yes,,agriculture
1115,2,female,44,spouse,married,yes,did not complete any schooling,yes,,household work
1115,3,male,21,child,single,yes,2nd grade,yes,,household work
1115,4,female,14,child,single,yes,6th grade,yes,,student
1115,5,male,12,child,single,yes,did not complete any schooling,yes,,agriculture
1115,6,female,9,child,,yes,did not complete any schooling,yes,,household work
1115,7,male,7,child,,yes,did not complete any schooling,yes,,livestock
1115,8,female,5,child,,yes,did not complete any schooling,no,too young,
1115,9,female,0,child,,no,,,,
1115,101,female,18,child,single,yes,3rd grade,no,student,
1115,102,male,16,child,single,yes,8th grade,no,student,
1116,1,male,71,household head,married,yes,4th grade,yes,,agriculture
1116,2,female,62,spouse,married,yes,did not complete any schooling,yes,,household work
